FileName;Group;Stage;Status;ShortName
INT_GRAN_H_16830;INT.HD;INT;HD;INT.HD1
INT_GRAN_H_17078;INT.HD;INT;HD;INT.HD2
INT_GRAN_H_17240;INT.HD;INT;HD;INT.HD3
INT_GRAN_H_17260;INT.HD;INT;HD;INT.HD4
INT_GRAN_H_DS2;INT.HD;INT;HD;INT.HD5
INT_GRAN_MM_15733;INT.MM;INT;MM;INT.MM1
INT_GRAN_MM_16540;INT.MM;INT;MM;INT.MM2
INT_GRAN_MM_17089;INT.MM;INT;MM;INT.MM3
INT_GRAN_MM_17090;INT.MM;INT;MM;INT.MM4
MAT_GRAN_H_16830;MAT.HD;MAT;HD;MAT.HD1
MAT_GRAN_H_17078;MAT.HD;MAT;HD;MAT.HD2
MAT_GRAN_H_17240;MAT.HD;MAT;HD;MAT.HD3
MAT_GRAN_H_17260;MAT.HD;MAT;HD;MAT.HD4
MAT_GRAN_H_DS2;MAT.HD;MAT;HD;MAT.HD5
MAT_GRAN_MM_15733;MAT.MM;MAT;MM;MAT.MM1
MAT_GRAN_MM_15879;MAT.MM;MAT;MM;MAT.MM2
MAT_GRAN_MM_16540;MAT.MM;MAT;MM;MAT.MM3
MAT_GRAN_MM_17089;MAT.MM;MAT;MM;MAT.MM4
MAT_GRAN_MM_17090;MAT.MM;MAT;MM;MAT.MM5
IMM_GRAN_H_16830;IMM.HD;IMM;HD;IMM.HD1
IMM_GRAN_H_17078;IMM.HD;IMM;HD;IMM.HD2
IMM_GRAN_H_17240;IMM.HD;IMM;HD;IMM.HD3
IMM_GRAN_H_17260;IMM.HD;IMM;HD;IMM.HD4
IMM_GRAN_H_DS2;IMM.HD;IMM;HD;IMM.HD5
IMM_GRAN_MM_15733;IMM.MM;IMM;MM;IMM.MM1
IMM_GRAN_MM_16540;IMM.MM;IMM;MM;IMM.MM2
IMM_GRAN_MM_17089;IMM.MM;IMM;MM;IMM.MM3
IMM_GRAN_MM_17090;IMM.MM;IMM;MM;IMM.MM4
IMM_GRAN_MM_20610;IMM.MM;IMM;MM;IMM.MM5
INT_GRAN_MM_20610;INT.MM;INT;MM;INT.MM5
MAT_GRAN_MM_20610;MAT.MM;MAT;MM;MAT.MM6
IMM_GRAN_H_S1;IMM.HD;IMM;HD;IMM.HD6
INT_GRAN_H_S1;INT.HD;INT;HD;INT.HD6
MAT_GRAN_H_S1;MAT.HD;MAT;HD;MAT.HD6
IMM_GRAN_MM_20674;IMM.MM;IMM;MM;IMM.MM6
INT_GRAN_MM_20674;INT.MM;INT;MM;INT.MM6
MAT_GRAN_MM_20674;MAT.MM;MAT;MM;MAT.MM7
IMM_GRAN_MM_20795;IMM.MM;IMM;MM;IMM.MM7
INT_GRAN_MM_20795;INT.MM;INT;MM;INT.MM7
MAT_GRAN_MM_20795;MAT.MM;MAT;MM;MAT.MM8
IMM_GRAN_H_S3;IMM.HD;IMM;HD;IMM.HD7
INT_GRAN_H_S3;INT.HD;INT;HD;INT.HD7
MAT_GRAN_H_S3;MAT.HD;MAT;HD;MAT.HD7
IMM_GRAN_H_S2;IMM.HD;IMM;HD;IMM.HD8
INT_GRAN_H_S2;INT.HD;INT;HD;INT.HD8
MAT_GRAN_H_S2;MAT.HD;MAT;HD;MAT.HD8
